,The Division of Law Enforcement and Safety,Reporting Criminal Incidents and Other Emergencies,"Sexual Assault, Domestic Violence, Dating Violence",CONFIDENTIAL REPORTING OF CRIME AND OTHER SERIOUS,Crime Prevention,Monitoring and Recording Criminal Activity Includi,Missing Resident Students,Timely Warning Notices,Emergency Response,Alcohol And Drug Policies,Criminal statistics,Annual Fire Safety Report
30,,Neutral,Neutral,,Neutral,,,Neutral,Neutral,,Negative,Neutral
31,,Neutral,Neutral,,Neutral,,,Neutral,Neutral,,Negative,Neutral
32,,Neutral,Neutral,,Neutral,,,Neutral,Neutral,,Negative,Neutral
33,,Neutral,Neutral,,,,,,Neutral,,Neutral,Neutral
34,,Neutral,Neutral,,,,,,Neutral,,Neutral,
35,,Neutral,Neutral,,,,,,Neutral,,Negative,
36,,Neutral,Neutral,,,,,,Neutral,,Neutral,
37,,Neutral,Neutral,,,,,,Neutral,,Neutral,
38,,Neutral,Neutral,,,,,,Neutral,,Neutral,
39,,Neutral,Neutral,,,,,,Neutral,,Neutral,
40,,,Neutral,,,,,,Neutral,,Neutral,
41,,,Neutral,,,,,,Neutral,,Neutral,
42,,,Neutral,,,,,,Neutral,,Negative,
43,,,Neutral,,,,,,Neutral,,Neutral,
44,,,Neutral,,,,,,Neutral,,Negative,
45,,,Neutral,,,,,,Neutral,,Negative,
46,,,Neutral,,,,,,Neutral,,Negative,
47,,,Neutral,,,,,,Neutral,,Neutral,
48,,,Neutral,,,,,,Neutral,,Neutral,
49,,,Neutral,,,,,,Neutral,,Negative,
50,,,Neutral,,,,,,Neutral,,Negative,
51,,,Neutral,,,,,,Neutral,,Negative,
52,,,Negative,,,,,,Neutral,,Negative,
53,,,Negative,,,,,,Neutral,,Negative,
54,,,Neutral,,,,,,Neutral,,Neutral,
55,,,Negative,,,,,,Neutral,,Negative,
56,,,Neutral,,,,,,,,Negative,
57,,,Positive,,,,,,,,,
58,,,Neutral,,,,,,,,,
59,,,Neutral,,,,,,,,,
60,,,Neutral,,,,,,,,,
61,,,Neutral,,,,,,,,,
62,,,Neutral,,,,,,,,,
63,,,Neutral,,,,,,,,,
64,,,Neutral,,,,,,,,,
65,,,Neutral,,,,,,,,,
66,,,Neutral,,,,,,,,,
67,,,Neutral,,,,,,,,,
68,,,Neutral,,,,,,,,,
69,,,Neutral,,,,,,,,,
70,,,Neutral,,,,,,,,,
71,,,Neutral,,,,,,,,,
72,,,Neutral,,,,,,,,,
73,,,Neutral,,,,,,,,,
74,,,Neutral,,,,,,,,,
75,,,Neutral,,,,,,,,,
76,,,Neutral,,,,,,,,,
77,,,Neutral,,,,,,,,,
78,,,Neutral,,,,,,,,,
79,,,Neutral,,,,,,,,,
80,,,Neutral,,,,,,,,,
81,,,Neutral,,,,,,,,,
82,,,Neutral,,,,,,,,,
83,,,Neutral,,,,,,,,,
84,,,Neutral,,,,,,,,,
85,,,Neutral,,,,,,,,,
86,,,Neutral,,,,,,,,,
87,,,Neutral,,,,,,,,,
88,,,Neutral,,,,,,,,,
89,,,Neutral,,,,,,,,,
90,,,Neutral,,,,,,,,,
91,,,Neutral,,,,,,,,,
92,,,Neutral,,,,,,,,,
93,,,Neutral,,,,,,,,,
94,,,Neutral,,,,,,,,,
95,,,Negative,,,,,,,,,
96,,,Negative,,,,,,,,,
97,,,Neutral,,,,,,,,,
98,,,Negative,,,,,,,,,
99,,,Neutral,,,,,,,,,
100,,,Neutral,,,,,,,,,
101,,,Neutral,,,,,,,,,
102,,,Negative,,,,,,,,,
103,,,Neutral,,,,,,,,,
104,,,Neutral,,,,,,,,,
105,,,Neutral,,,,,,,,,
106,,,Neutral,,,,,,,,,
107,,,Negative,,,,,,,,,
108,,,Negative,,,,,,,,,
109,,,Neutral,,,,,,,,,
110,,,Neutral,,,,,,,,,
111,,,Neutral,,,,,,,,,
112,,,Neutral,,,,,,,,,
113,,,Neutral,,,,,,,,,
114,,,Neutral,,,,,,,,,
115,,,Neutral,,,,,,,,,
116,,,Neutral,,,,,,,,,
117,,,Neutral,,,,,,,,,
118,,,Neutral,,,,,,,,,
119,,,Neutral,,,,,,,,,
120,,,Neutral,,,,,,,,,
121,,,Neutral,,,,,,,,,
122,,,Neutral,,,,,,,,,
123,,,Positive,,,,,,,,,
124,,,Neutral,,,,,,,,,
125,,,Neutral,,,,,,,,,
126,,,Neutral,,,,,,,,,
127,,,Neutral,,,,,,,,,
128,,,Neutral,,,,,,,,,
129,,,Neutral,,,,,,,,,
130,,,Neutral,,,,,,,,,
131,,,Neutral,,,,,,,,,
132,,,Neutral,,,,,,,,,
133,,,Neutral,,,,,,,,,
134,,,Neutral,,,,,,,,,
135,,,Neutral,,,,,,,,,
136,,,Neutral,,,,,,,,,
137,,,Negative,,,,,,,,,
138,,,Neutral,,,,,,,,,
139,,,Neutral,,,,,,,,,
140,,,Neutral,,,,,,,,,
141,,,Neutral,,,,,,,,,
142,,,Neutral,,,,,,,,,
143,,,Neutral,,,,,,,,,
144,,,Neutral,,,,,,,,,
145,,,Negative,,,,,,,,,
146,,,Neutral,,,,,,,,,
147,,,Neutral,,,,,,,,,
148,,,Neutral,,,,,,,,,
149,,,Neutral,,,,,,,,,
150,,,Neutral,,,,,,,,,
151,,,Positive,,,,,,,,,
152,,,Positive,,,,,,,,,
153,,,Neutral,,,,,,,,,
154,,,Neutral,,,,,,,,,
155,,,Neutral,,,,,,,,,
156,,,Neutral,,,,,,,,,
157,,,Neutral,,,,,,,,,
158,,,Positive,,,,,,,,,
159,,,Neutral,,,,,,,,,
160,,,Neutral,,,,,,,,,
161,,,Neutral,,,,,,,,,
162,,,Neutral,,,,,,,,,
163,,,Neutral,,,,,,,,,
164,,,Neutral,,,,,,,,,
165,,,Neutral,,,,,,,,,
