,The Division of Law Enforcement and Safety,Reporting Criminal Incidents and Other Emergencies,"Sexual Assault, Domestic Violence, Dating Violence",CONFIDENTIAL REPORTING OF CRIME AND OTHER SERIOUS,Crime Prevention,Monitoring and Recording Criminal Activity Includi,Missing Resident Students,Timely Warning Notices,Emergency Response,Alcohol And Drug Policies,Criminal statistics,Annual Fire Safety Report
97,,,Neutral,,,,,,,,,
98,,,Neutral,,,,,,,,,
99,,,Neutral,,,,,,,,,
100,,,Neutral,,,,,,,,,
101,,,Neutral,,,,,,,,,
102,,,Neutral,,,,,,,,,
103,,,Neutral,,,,,,,,,
104,,,Neutral,,,,,,,,,
105,,,Neutral,,,,,,,,,
106,,,Negative,,,,,,,,,
107,,,Negative,,,,,,,,,
108,,,Negative,,,,,,,,,
109,,,Negative,,,,,,,,,
110,,,Negative,,,,,,,,,
111,,,Negative,,,,,,,,,
112,,,Negative,,,,,,,,,
113,,,Neutral,,,,,,,,,
114,,,Neutral,,,,,,,,,
115,,,Neutral,,,,,,,,,
116,,,Negative,,,,,,,,,
117,,,Neutral,,,,,,,,,
118,,,Neutral,,,,,,,,,
119,,,Negative,,,,,,,,,
120,,,Negative,,,,,,,,,
121,,,Neutral,,,,,,,,,
122,,,Neutral,,,,,,,,,
123,,,Neutral,,,,,,,,,
124,,,Neutral,,,,,,,,,
125,,,Neutral,,,,,,,,,
126,,,Neutral,,,,,,,,,
127,,,Neutral,,,,,,,,,
128,,,Neutral,,,,,,,,,
129,,,Neutral,,,,,,,,,
130,,,Neutral,,,,,,,,,
131,,,Negative,,,,,,,,,
132,,,Neutral,,,,,,,,,
133,,,Negative,,,,,,,,,
134,,,Negative,,,,,,,,,
135,,,Neutral,,,,,,,,,
136,,,Neutral,,,,,,,,,
137,,,Neutral,,,,,,,,,
138,,,Negative,,,,,,,,,
139,,,Negative,,,,,,,,,
140,,,Neutral,,,,,,,,,
141,,,Neutral,,,,,,,,,
142,,,Neutral,,,,,,,,,
143,,,Neutral,,,,,,,,,
144,,,Neutral,,,,,,,,,
145,,,Neutral,,,,,,,,,
146,,,Neutral,,,,,,,,,
147,,,Neutral,,,,,,,,,
148,,,Neutral,,,,,,,,,
149,,,Neutral,,,,,,,,,
150,,,Negative,,,,,,,,,
151,,,Neutral,,,,,,,,,
152,,,Neutral,,,,,,,,,
153,,,Neutral,,,,,,,,,
154,,,Negative,,,,,,,,,
155,,,Positive,,,,,,,,,
156,,,Negative,,,,,,,,,
157,,,Neutral,,,,,,,,,
158,,,Positive,,,,,,,,,
159,,,Neutral,,,,,,,,,
160,,,Neutral,,,,,,,,,
161,,,Neutral,,,,,,,,,
162,,,Positive,,,,,,,,,
163,,,Neutral,,,,,,,,,
164,,,Neutral,,,,,,,,,
165,,,Positive,,,,,,,,,
